Method,ATE,ATE_lb,ATE_ub,PSM_max_SMD
PSM,-0.105,-0.1818,-0.0282,0.4379
PSW,-0.0,-0.0215,0.0215,
TLearner,0.010940725426036113,-0.036954748644024746,0.047446935709816326,
