Path,Incidence,Max_AUC,ATE,LB,UB
A: Healthy,0.04389864414314292,0.7261 (0.6704-0.7785),-0.0016681138110733525,-0.058577314649001185,0.055241087026854464
B: Depressed,0.14724292101341283,0.6863 (0.6273-0.7401),-0.04058061950052706,-0.13833911412486094,0.05717787512380679
C: Cognition,0.18644702358667165,0.6071 (0.5419-0.6733),0.031085320824697026,-0.0758022854257394,0.13797292707513342
