Cohort,Age_split,N,N_events,XLearner_ATE,ATE_lb,ATE_ub
A,<70,6489,252,-0.002854240063431699,-0.014392474175645771,0.006901652932608109
A,≥70,2339,114,0.007167444252830654,-0.011310303864547965,0.02202100584317072
B,<70,2401,307,-0.01332827983802448,-0.031135302021518135,0.014022621673365999
B,≥70,722,119,-0.030326449854873157,-0.07575176374719451,0.015177164417679337
C,<70,1584,251,0.02458491642484998,-0.011619360208308428,0.06192686942566001
C,≥70,851,160,0.05642157110169101,0.010509268425412097,0.11224511991293935
