Note,Format: Each cell = ATE% (95% CI lower, 95% CI upper). * = significant (95% CI excludes zero),,
Intervention,Cohort A,Cohort B,Cohort C
Exercise,-0.2900% (-1.4000, 1.1400),-4.2400% (-7.8900, -0.8900)*,2.0300% (-0.2900, 10.0100)
Drinking,-0.6100% (-1.6500, -0.0100)*,1.4800% (-1.2000, 4.5300),2.9000% (-1.2800, 5.7400)
Social isolation,-1.2400% (-2.9200, 1.4200),1.3200% (-5.1900, 4.4700),2.1600% (-5.5200, 6.1800)
Normal BMI (18.5-24),1.4200% (0.0700, 7.7000)*,0.2400% (-4.0200, 7.7400),1.9200% (-2.4600, 9.4900)
Low chronic disease burden (≤1),-0.5000% (-1.7800, 0.5200),-0.9400% (-2.6100, 3.3200),6.3200% (1.5000, 10.8000)*
