Method,Method_CN,AUC,AUC_lb,AUC_ub
Median,Median imputation,0.7173142918817496,0.7118618169842663,0.7240321270011271
Mean,Mean imputation,0.7187406088255419,0.7121379567765552,0.7259967063865175
Mode,Mode imputation,0.718459235090181,0.7116965741715113,0.7253131371625179
KNN,K-Nearest Neighbors,0.7171760645867883,0.7117914026344757,0.7236765872892326
MICE,Multivariate imputation,0.7188182496836455,0.7120031645810458,0.725860253719974
