Cohort,ATE_pooled,ATE_SE,ATE_lb,ATE_ub
A,-0.0019566222336693307,0.004303162102542832,-0.010390664974290935,0.006477420506952275
B,-0.02129104967801447,0.011733265511773446,-0.04428782750213635,0.001705728146107411
C,0.033945366092970754,0.014260043098569555,0.00599619520178547,0.061894536984156034
