Intervention,Cohort A,Cohort B,Cohort C
Exercise,-0.2900% (-1.4000 to 1.1400),-4.2400% (-7.8900 to -0.8900)*,2.0300% (-0.2900 to 10.0100)
Drinking,-0.6100% (-1.6500 to -0.0100)*,1.4800% (-1.2000 to 4.5300),2.9000% (-1.2800 to 5.7400)
Social isolation,-1.2400% (-2.9200 to 1.4200),1.3200% (-5.1900 to 4.4700),2.1600% (-5.5200 to 6.1800)
Normal BMI (18.5-24),1.4200% (0.0700 to 7.7000)*,0.2400% (-4.0200 to 7.7400),1.9200% (-2.4600 to 9.4900)
Low chronic disease burden (≤1),-0.5000% (-1.7800 to 0.5200),-0.9400% (-2.6100 to 3.3200),6.3200% (1.5000 to 10.8000)*
