Cohort,PSW_ARD_pooled,PSW_SE_pooled,PSW_lb,PSW_ub,M_imputations
A,-0.00834,0.004342263275530302,-0.016850679631430318,0.00017067963143031772,5
B,-0.03212,0.0125008159733675,-0.056621149085163316,-0.0076188509148366855,5
C,0.020900000000000002,0.015510405892886851,-0.009499836935656047,0.051299836935656054,5
