Model,AUC,AUPRC,Accuracy,F1,Precision,Recall,Youden,Brier
ExtraTrees,0.6193 (0.5557-0.6841),0.2367 (0.1828-0.3087),0.6483 (0.6094-0.6912),0.3175 (0.2473-0.3871),0.2395 (0.1770-0.3042),0.4706 (0.3750-0.5715),0.1562 (0.0497-0.2662),0.2285 (0.2223-0.2343)
GBDT,0.6079 (0.5362-0.6695),0.2231 (0.1736-0.2891),0.8139 (0.7751-0.8497),0.0000 (0.0000-0.0000),0.0000 (0.0000-0.0000),0.0000 (0.0000-0.0000),-0.0149 (-0.0273--0.0049),0.1477 (0.1257-0.1748)
LR,0.6040 (0.5295-0.6718),0.2552 (0.1952-0.3370),0.5930 (0.5501-0.6339),0.3254 (0.2528-0.3925),0.2286 (0.1734-0.2871),0.5647 (0.4572-0.6691),0.1637 (0.0470-0.2727),0.2373 (0.2279-0.2459)
AdaBoost,0.5959 (0.5323-0.6608),0.2150 (0.1678-0.2835),0.8262 (0.7883-0.8609),0.0000 (0.0000-0.0000),0.0000 (0.0000-0.0000),0.0000 (0.0000-0.0000),0.0000 (0.0000-0.0000),0.1426 (0.1227-0.1650)
NB,0.5936 (0.5297-0.6595),0.2222 (0.1736-0.3015),0.6953 (0.6513-0.7393),0.2513 (0.1735-0.3276),0.2193 (0.1469-0.2955),0.2941 (0.2010-0.3965),0.0738 (-0.0242-0.1744),0.2205 (0.1937-0.2496)
RF,0.5922 (0.5305-0.6491),0.2164 (0.1682-0.2888),0.7055 (0.6667-0.7464),0.2000 (0.1199-0.2750),0.1895 (0.1116-0.2736),0.2118 (0.1243-0.2959),0.0212 (-0.0727-0.1233),0.2065 (0.1980-0.2146)
MLP,0.5850 (0.5071-0.6489),0.2553 (0.1886-0.3457),0.8262 (0.7883-0.8609),0.0000 (0.0000-0.0000),0.0000 (0.0000-0.0000),0.0000 (0.0000-0.0000),0.0000 (0.0000-0.0000),0.1411 (0.1200-0.1645)
Bagging,0.5832 (0.5116-0.6461),0.2141 (0.1623-0.2852),0.8016 (0.7638-0.8375),0.0396 (0.0000-0.0943),0.1250 (0.0000-0.3234),0.0235 (0.0000-0.0582),-0.0111 (-0.0431-0.0273),0.1520 (0.1314-0.1754)
HistGBM,0.5729 (0.5031-0.6396),0.2276 (0.1650-0.3104),0.8262 (0.7883-0.8609),0.0000 (0.0000-0.0000),0.0000 (0.0000-0.0000),0.0000 (0.0000-0.0000),0.0000 (0.0000-0.0000),0.1447 (0.1226-0.1692)
CatBoost,0.5642 (0.4957-0.6322),0.1989 (0.1552-0.2694),0.7198 (0.6769-0.7598),0.1697 (0.0912-0.2493),0.1750 (0.0923-0.2658),0.1647 (0.0843-0.2430),0.0013 (-0.0950-0.0885),0.1894 (0.1747-0.2038)
XGB,0.5463 (0.4792-0.6084),0.1931 (0.1491-0.2591),0.8139 (0.7771-0.8507),0.0619 (0.0000-0.1376),0.2500 (0.0000-0.5175),0.0353 (0.0000-0.0830),0.0130 (-0.0251-0.0594),0.1577 (0.1301-0.1852)
LightGBM,0.5443 (0.4726-0.6166),0.2016 (0.1509-0.2732),0.7935 (0.7587-0.8313),0.0381 (0.0000-0.0995),0.1000 (0.0000-0.2621),0.0235 (0.0000-0.0629),-0.0210 (-0.0558-0.0223),0.1628 (0.1351-0.1906)
DT,0.5427 (0.4779-0.6044),0.1944 (0.1513-0.2480),0.5215 (0.4775-0.5675),0.2452 (0.1880-0.3044),0.1689 (0.1273-0.2199),0.4471 (0.3474-0.5479),-0.0158 (-0.1341-0.0963),0.2522 (0.2378-0.2667)
SVM,0.5377 (0.4781-0.5965),0.1786 (0.1419-0.2338),0.8262 (0.7883-0.8609),0.0000 (0.0000-0.0000),0.0000 (0.0000-0.0000),0.0000 (0.0000-0.0000),0.0000 (0.0000-0.0000),0.1464 (0.1236-0.1707)
KNN,0.5136 (0.4480-0.5776),0.1887 (0.1475-0.2481),0.8262 (0.7883-0.8609),0.0000 (0.0000-0.0000),0.0000 (0.0000-0.0000),0.0000 (0.0000-0.0000),0.0000 (0.0000-0.0000),0.1475 (0.1242-0.1728)
