Method,ATE,ATE_lb,ATE_ub,PSM_max_SMD
PSM,0.0013,-0.0226,0.0252,0.1337
PSW,0.0122,-0.0125,0.0369,
TLearner,0.007047950252757987,-0.016284730682242603,0.02802693505298681,
