Method,ATE,ATE_lb,ATE_ub,PSM_max_SMD
PSM,-0.0084,-0.0163,-0.0004,0.18
PSW,-0.0065,-0.0156,0.0027,
TLearner,-0.008867188081271224,-0.01576503269429412,0.0005102389473666657,
