Method,ATE,ATE_lb,ATE_ub,PSM_max_SMD
PSM,0.0139,-0.0361,0.064,0.9107
PSW,0.0116,-0.0058,0.029,
TLearner,0.20370564554340467,0.08176459217198864,0.35597297952221385,
