baseline_group,n,auc,ate,ate_lb,ate_ub
Healthy,1372,0.5487740940632229,0.024747673504543675,-0.05521771587279479,0.10471306288188212
Depression_only,222,0.6393564356435644,0.04306355776328619,-0.09731497803763234,0.18344209356420468
Cognition_only,1857,0.5501977758324417,-0.022607408888360464,-0.09916910877540452,0.05395429099868357
