method,ate,ate_lb,ate_ub,significant
CausalForestDML,0.030580756797657264,-0.07925147452733335,0.14041298812264785,0
LinearDML,0.03401097835248759,-0.0002978995570235357,0.06831985626199877,0
DMLOrthoForest,0.02651468599894329,-0.23366159334715175,0.28699660798717,0
ForestDRLearner,0.022279595822422914,-0.060213615383483084,0.10477280702832889,0
SLearner,0.0006657023279639128,-0.00041899102173512397,0.0063701123967890875,0
TLearner,0.022678333005587307,-0.012272463575948873,0.0512178161760745,0
