Method,ATE,ATE_lb,ATE_ub,PSM_max_SMD
PSM,0.035,0.0057,0.0642,0.2142
PSW,0.0202,-0.0113,0.0518,
TLearner,0.022909922391364673,-0.010484139348125239,0.05122727878935242,
