Method,ATE,ATE_lb,ATE_ub,PSM_max_SMD
PSM,0.0366,-0.0343,0.1075,1.1904
PSW,0.0513,0.029,0.0737,
TLearner,0.29056561199709574,0.13086496611115894,0.4931949027419732,
