Method,ATE,ATE_lb,ATE_ub,PSM_max_SMD
PSM,-0.0028,-0.0234,0.0179,1.0311
PSW,0.0194,0.0126,0.0262,
TLearner,0.2522813058200018,0.13976737947156317,0.3833562481583653,
