Method,ATE,ATE_lb,ATE_ub,PSM_max_SMD
PSM,0.0259,-0.0044,0.0562,0.1238
PSW,0.0255,-0.005,0.0561,
TLearner,0.021575657764924105,-0.008745883725590771,0.050194294106099754,
