covariate,mean_T1,mean_T0,smd,balanced
marry,0.0,0.9371414913957935,5.4605393959107555,False
gender,0.4934782608695652,0.6698135755258127,0.3633190316246653,False
age,0.3576925738721716,-0.01966283269373678,0.3208760127391295,False
drinkev,0.4391304347826087,0.5479206500956023,0.2188981120061875,False
puff,-0.1790087818399397,0.009840348906115402,0.2059878851361699,False
lgrip,-0.18798051575637445,0.010333536956015002,0.1690409176320715,False
fall_down,0.18043478260869567,0.13097514340344169,0.13673041650216539,False
mwaist,-0.1147529141837047,0.006308119087536808,0.12666269097905,False
bmi,-0.1128070377581554,0.006201151693206572,0.12382706107767738,False
adlab_c,0.10996644051713057,-0.006045000315234533,0.1161389080084041,False
iadl,0.1044454488434296,-0.005741504119021622,0.10994430363003396,False
satlife,3.3195652173913044,3.386711281070746,0.10517079558056439,False
diasto,-0.09671488880840474,0.0053165450348795695,0.10306395633517693,False
ins,0.9521739130434783,0.97131931166348,0.09994030581970885,True
rural,0.43043478260869567,0.4789674952198853,0.09758219201627831,True
lunge,0.1608695652173913,0.12715105162523901,0.0961476407661575,True
chronic_low,0.6260869565217392,0.6716061185468452,0.09547046225200484,True
edu,2.2717391304347827,2.364364244741874,0.09046432089852544,True
sleep,-0.07941271591165464,0.0043654217637862525,0.08797942177789873,True
systo,-0.08157842637611452,0.0044844737252648734,0.08712948193824502,True
arthre,0.3673913043478261,0.3287523900573614,0.0811798159292707,True
pension,0.8630434782608696,0.8372370936902486,0.0723474747192074,True
disability,0.2326086956521739,0.20434990439770553,0.06842774561967531,True
retire,0.3978260869565217,0.3724904397705545,0.052080832863144744,True
hibpe,0.3934782608695652,0.3693833652007648,0.049619986620856364,True
pulse,0.04007092615707398,-0.002202751676894657,0.04381467079330961,True
exercise,0.55,0.5307122370936902,0.03870904064709842,True
hearte,0.20869565217391303,0.19682122370936903,0.029537629586367634,True
cancre,0.013043478260869565,0.015176864244741874,0.018088679505066495,True
bmi_normal,0.1282608695652174,0.12308795411089866,0.015605891248683511,True
wspeed,0.01341749006788729,-0.0007375771308830416,0.01458878559943904,True
diabe,0.11304347826086956,0.10910611854684513,0.01253063964854129,True
income_total,0.008568398015332788,-0.0004710161432904133,0.009078262183668303,True
family_size,0.007993054351995689,-0.0004393887430590901,0.008184104943765657,True
stroke,0.0391304347826087,0.038121414913957936,0.005236191936660394,True
srh,3.252173913043478,3.2488049713193115,0.0038576525771378146,True
had_comorbidity_before,0.0,0.0,0.0,True
