Method,ATE,ATE_lb,ATE_ub,PSM_max_SMD
PSM,-0.0162,-0.0475,0.0152,0.2432
PSW,0.0089,0.0027,0.015,
TLearner,0.01310147356437778,-0.002657011798350676,0.03374264933240405,
