Model,AUC,AUPRC,Accuracy,F1,Precision,Recall,Youden,Brier
CatBoost,0.7274 (0.6702-0.7777),0.1142 (0.0715-0.1831),0.6917 (0.6698-0.7113),0.1424 (0.1074-0.1801),0.0801 (0.0591-0.1031),0.6429 (0.5167-0.7465),0.3366 (0.2117-0.4441),0.1901 (0.1838-0.1963)
SVM,0.7246 (0.6673-0.7784),0.1016 (0.0689-0.1702),0.9602 (0.9516-0.9693),0.0000 (0.0000-0.0000),0.0000 (0.0000-0.0000),0.0000 (0.0000-0.0000),0.0000 (0.0000-0.0000),0.0373 (0.0293-0.0448)
LR,0.7243 (0.6689-0.7818),0.1012 (0.0669-0.1561),0.6325 (0.6104-0.6553),0.1294 (0.0968-0.1617),0.0714 (0.0524-0.0911),0.6857 (0.5764-0.7941),0.3160 (0.2015-0.4294),0.2204 (0.2123-0.2283)
HistGBM,0.7183 (0.6562-0.7738),0.1111 (0.0712-0.1857),0.9596 (0.9505-0.9684),0.0000 (0.0000-0.0000),0.0000 (0.0000-0.0000),0.0000 (0.0000-0.0000),-0.0006 (-0.0024-0.0000),0.0373 (0.0294-0.0450)
ExtraTrees,0.7149 (0.6543-0.7709),0.0968 (0.0628-0.1574),0.7247 (0.7031-0.7441),0.1449 (0.1084-0.1848),0.0827 (0.0606-0.1077),0.5857 (0.4650-0.7072),0.3162 (0.1966-0.4387),0.2053 (0.2012-0.2092)
GBDT,0.7095 (0.6489-0.7618),0.0980 (0.0643-0.1639),0.9590 (0.9505-0.9681),0.0000 (0.0000-0.0000),0.0000 (0.0000-0.0000),0.0000 (0.0000-0.0000),-0.0012 (-0.0030-0.0000),0.0379 (0.0297-0.0457)
RF,0.6962 (0.6406-0.7477),0.0744 (0.0536-0.1131),0.8276 (0.8100-0.8465),0.1166 (0.0733-0.1591),0.0733 (0.0448-0.1029),0.2857 (0.1772-0.3762),0.1358 (0.0248-0.2372),0.1572 (0.1524-0.1613)
XGB,0.6938 (0.6318-0.7484),0.1061 (0.0649-0.1766),0.9602 (0.9516-0.9693),0.0000 (0.0000-0.0000),0.0000 (0.0000-0.0000),0.0000 (0.0000-0.0000),0.0000 (0.0000-0.0000),0.0373 (0.0291-0.0452)
AdaBoost,0.6876 (0.6255-0.7480),0.0866 (0.0600-0.1375),0.9602 (0.9516-0.9693),0.0000 (0.0000-0.0000),0.0000 (0.0000-0.0000),0.0000 (0.0000-0.0000),0.0000 (0.0000-0.0000),0.0571 (0.0514-0.0625)
MLP,0.6860 (0.6203-0.7393),0.0960 (0.0606-0.1602),0.9602 (0.9516-0.9693),0.0000 (0.0000-0.0000),0.0000 (0.0000-0.0000),0.0000 (0.0000-0.0000),0.0000 (0.0000-0.0000),0.0375 (0.0293-0.0452)
LightGBM,0.6844 (0.6203-0.7411),0.0990 (0.0620-0.1680),0.9608 (0.9516-0.9696),0.0548 (0.0000-0.1260),0.6667 (0.0000-1.0000),0.0286 (0.0000-0.0678),0.0280 (-0.0012-0.0675),0.0377 (0.0294-0.0456)
DT,0.6606 (0.5981-0.7230),0.0820 (0.0533-0.1268),0.6121 (0.5890-0.6337),0.1120 (0.0837-0.1414),0.0616 (0.0457-0.0791),0.6143 (0.4962-0.7283),0.2263 (0.1129-0.3455),0.2112 (0.2031-0.2198)
NB,0.6571 (0.6009-0.7092),0.0618 (0.0451-0.0929),0.8197 (0.8032-0.8370),0.1020 (0.0613-0.1421),0.0636 (0.0376-0.0911),0.2571 (0.1615-0.3616),0.1002 (0.0048-0.2045),0.1523 (0.1386-0.1660)
Bagging,0.6376 (0.5668-0.6998),0.0998 (0.0591-0.1667),0.9608 (0.9522-0.9699),0.0282 (0.0000-0.0891),1.0000 (0.0000-1.0000),0.0143 (0.0000-0.0466),0.0143 (0.0000-0.0466),0.0399 (0.0323-0.0470)
KNN,0.6088 (0.5405-0.6751),0.0807 (0.0467-0.1367),0.9602 (0.9516-0.9693),0.0000 (0.0000-0.0000),0.0000 (0.0000-0.0000),0.0000 (0.0000-0.0000),0.0000 (0.0000-0.0000),0.0383 (0.0303-0.0463)
