covariate,mean_T1,mean_T0,smd,balanced
hibpe,0.15674362089914945,0.7095463777928233,1.3441768952442317,False
hearte,0.06136087484811665,0.4983073798239675,1.1141794591864247,False
arthre,0.3068043742405832,0.7034529451591063,0.8642397947252479,False
diabe,0.020048602673147023,0.24576844955991875,0.7050080419128072,False
lunge,0.07411907654921021,0.32498307379823965,0.6610909743269017,False
stroke,0.0036452004860267314,0.14150304671631686,0.551184845501817,False
srh,2.8438639125151886,2.4082599864590386,0.5392293153903225,False
disability,0.2709599027946537,0.3886255924170616,0.25226218174567583,False
age,-0.1153422596147495,0.1285398505930073,0.24482942450390136,False
retire,0.18833535844471447,0.26878808395396075,0.19248214732585847,False
rural,0.6452004860267315,0.5578876100203114,0.17905562307299652,False
pension,0.7363304981773997,0.8104265402843602,0.17768700698725298,False
gender,0.5935601458080194,0.5071090047393365,0.174444922906354,False
cancre,0.006682867557715674,0.027758970886932972,0.16254129912258428,False
fall_down,0.2290400972053463,0.28842247799593773,0.13590821913950923,False
mwaist,-0.056155142968114274,0.06258047753928156,0.11851250840106801,False
bmi,-0.053930720419778165,0.0601015340629363,0.11375069338199996,False
systo,-0.053354341713479546,0.05945920545727145,0.11259640118615188,False
exercise,0.4957472660996355,0.5490859851049424,0.10693734637356027,False
adlab_c,-0.04821372412184459,0.05373039262325792,0.10218199379470388,False
drinkev,0.5151883353584447,0.46580907244414355,0.09889704954319316,True
diasto,-0.04344803992492022,0.048419413484373695,0.09172744738004628,True
iadl,-0.03584640951106446,0.039947995975095324,0.07589748372828564,True
is_socially_isolated,0.06500607533414338,0.08259986459038592,0.06733126033841672,True
lgrip,0.030149209414820372,-0.033598915840753904,0.06393840858999672,True
satlife,2.9872417982989066,2.947867298578199,0.05444766877149316,True
ins,0.9635479951397327,0.972241029113067,0.0493287128452008,True
marry,0.8420413122721749,0.8259986459038592,0.04312820363404619,True
pulse,0.018679976755890476,-0.020817360690718788,0.039438658049749394,True
bmi_normal,0.12454434993924667,0.11306702775897089,0.03547761611356994,True
edu,2.1014580801944107,2.132701421800948,0.03159903497688547,True
family_size,-0.014035493487496357,0.015641450426823814,0.0296757810308938,True
wspeed,0.012719464966251374,-0.01417484044309385,0.026942880697676745,True
puff,-0.011689044890329545,0.01302651854399689,0.02472400492788359,True
sleep,0.009920824532199595,-0.011055976425186615,0.02097697879223844,True
income_total,-0.009008048868102688,0.010038759943734838,0.01905137314754299,True
had_comorbidity_before,0.0,0.0,0.0,True
