Method,ATE,ATE_lb,ATE_ub,PSM_max_SMD
PSM,-0.003,-0.0397,0.0338,1.2174
PSW,-0.0159,-0.0332,0.0014,
TLearner,-0.012190308509381083,-0.037380577980335845,0.017693054873762628,
