Method,ATE,ATE_lb,ATE_ub,PSM_max_SMD
PSM,-0.0341,-0.1176,0.0495,0.4472
PSW,0.0194,-0.0099,0.0487,
TLearner,0.009162390402800534,-0.034747656322529116,0.07136199020861402,
