Method,ATE,ATE_lb,ATE_ub,PSM_max_SMD
PSM,0.0409,-0.0074,0.0891,1.3061
PSW,0.0249,0.0031,0.0467,
TLearner,0.03267971496387109,-0.0027463115262142115,0.058456311589931996,
