method,ate,ate_lb,ate_ub,significant
CausalForestDML,-0.027790375635180106,-0.1332449460444011,0.07766419477404087,0
LinearDML,-0.03545937213222032,-0.06279161464706426,-0.008127129617376376,1
DMLOrthoForest,-0.034549686311991464,-0.2040789118040373,0.13480456997026402,0
ForestDRLearner,-0.020279395011931316,-0.07552708977973921,0.034968299755876564,0
SLearner,-0.0019603875098193335,-0.007166532667858468,6.0164078011372016e-05,0
TLearner,-0.02902201757621513,-0.04640596444118057,-0.007838054613745394,1
