method,ate,ate_lb,ate_ub,significant
CausalForestDML,-0.010344207216375152,-0.16064931761916884,0.1399609031864185,0
LinearDML,-0.01189094032002992,-0.0799010377866988,0.056119157146639,0
DMLOrthoForest,0.013980758194224285,-0.354845796165434,0.38262069912487984,0
ForestDRLearner,-0.007615363443901071,-0.12168331336719855,0.10645258647939639,0
SLearner,-0.00018582367810459255,-0.0023185567961480974,0.0029390908095141706,0
TLearner,-0.012490197727843984,-0.04744695976387559,0.04026244350076611,0
