method,ate,ate_lb,ate_ub,significant
CausalForestDML,-0.03444718123074805,-0.1507055395212843,0.08181117705978817,0
LinearDML,-0.03171397463893512,-0.06784872418312278,0.004420774905252424,0
DMLOrthoForest,-0.03008488592067096,-0.2996248948088648,0.2395034863527352,0
ForestDRLearner,-0.025834574073051866,-0.1145397585479854,0.06287061040188165,0
SLearner,-0.0011694825680781218,-0.007506818412550374,0.0009922916615307676,0
TLearner,-0.028194664164778206,-0.06003718972392065,0.0020374986506219066,0
