Method,ATE,ATE_lb,ATE_ub,PSM_max_SMD
PSM,0.0046,-0.0026,0.0119,0.0652
PSW,-0.0032,-0.0122,0.0057,
TLearner,-0.008028786127963431,-0.01678308832407034,0.0005023193767402645,
