covariate,mean_T1,mean_T0,smd,balanced
gender,0.876749529977021,0.4046028210838901,1.1303284454109483,False
lgrip,0.10795932990929813,-0.12788946109275048,0.2358243186099072,False
edu,2.4459995822017966,2.257114575600099,0.18539438753596926,False
marry,0.9112178817631085,0.8611729769858946,0.15807659504047694,False
rural,0.5067892208063506,0.4404850284583024,0.1330867765439565,False
arthre,0.3066638813453102,0.3593170007423905,0.11189762304181473,False
puff,0.04553259121130249,-0.05393826135325546,0.10024886141502545,False
is_socially_isolated,0.042197618550240235,0.06384558277654045,0.09672258213494835,True
srh,3.2870273657823272,3.2039099232863153,0.09510257583060204,True
hearte,0.18048882389805723,0.21752041573867856,0.09285244205478417,True
disability,0.2197618550240234,0.18930957683741648,0.07555000649743077,True
income_total,0.02957789741480656,-0.03503820710830976,0.06489741089374006,True
chronic_low,0.6816377689575935,0.6545409552091067,0.05756654817014669,True
wspeed,0.025227593429607252,-0.029884803204041244,0.05535244363958784,True
retire,0.38500104449550865,0.3605543182380599,0.05057359318253555,True
lunge,0.1366200125339461,0.11977233358079684,0.05041166938988736,True
diabe,0.10215166074785878,0.11779262558772581,0.050009915865356976,True
age,0.021864694933649745,-0.02590108751481628,0.04776446101304545,True
diasto,0.020858276665584586,-0.024708876614245354,0.04567402504714212,True
bmi_normal,0.1299352412784625,0.11556545409552091,0.043800744553210404,True
systo,0.01592969287060286,-0.018870437953866583,0.03485577595136992,True
iadl,-0.015352919901275892,0.018187188212671603,0.033542897251452035,True
pulse,-0.014770297270790185,0.01749700891741503,0.032286299906193604,True
stroke,0.04094422393983706,0.034892353377876766,0.0316893839090849,True
adlab_c,-0.014422271808395535,0.01708473525038164,0.031509461553167625,True
fall_down,0.13808230624608314,0.12818609255134866,0.029133615647797487,True
satlife,3.375600584917485,3.392229646127196,0.025702017508601644,True
pension,0.834343012325047,0.8436030685473893,0.025195604579063346,True
cancre,0.013996239816168791,0.016332590942835932,0.019118915481597727,True
exercise,0.5360350950490913,0.5266023261568918,0.018903500329157368,True
mwaist,0.008063974588534455,-0.009552646957513502,0.017621258723038408,True
family_size,0.007741853167501591,-0.009171059419161682,0.0169373035945754,True
hibpe,0.369333611865469,0.37218510269735217,0.005903634041649179,True
ins,0.9707541257572593,0.9698094531056669,0.0055631754232804646,True
bmi,0.0023592648556993038,-0.0027948034803839798,0.005148203539723696,True
sleep,-0.0002555456701910612,0.0003027213865894131,0.0005586562995674758,True
had_comorbidity_before,0.0,0.0,0.0,True
