Method,ATE,ATE_lb,ATE_ub,PSM_max_SMD
PSM,-0.0146,-0.0376,0.0085,0.1772
PSW,-0.0304,-0.0551,-0.0057,
TLearner,-0.023348680787605762,-0.049008867636789286,-0.0033328439815689757,
