covariate,mean_T1,mean_T0,smd,balanced
family_size,0.24088090419264538,-0.261974084974223,0.5196233889180127,False
iadl,0.2404580693984726,-0.26151422387119466,0.5184550825734063,False
adlab_c,0.23716319303495953,-0.2579308255801399,0.5107071523252859,False
income_total,0.23477104474175434,-0.255329204408309,0.5060651741381058,False
wspeed,0.22210030458577498,-0.24154892751407428,0.4771320211009296,False
age,0.21312185042242554,-0.2317842584473801,0.45880206460255807,False
pulse,-0.1959087392019469,0.21306384938607908,0.4174927156749227,False
diasto,-0.09700220340547841,0.10549638030796907,0.20291737558224027,False
systo,-0.09683257829860674,0.10531190166566068,0.2025686462498503,False
pension,0.8113091579594346,0.7279411764705882,0.19896682493526177,False
puff,-0.09002972917825763,0.09791334851137973,0.1882706409362041,False
bmi,-0.08839928502134689,0.0961401315038329,0.18488358659187035,False
mwaist,-0.08744512951075475,0.09510242360561685,0.1828802529137159,False
sleep,-0.08549669501298213,0.09298337084633798,0.17900478588928567,False
lgrip,-0.08018919232979582,0.08721110689878281,0.16733508291056487,False
disability,0.36078672403196066,0.2894385026737968,0.1527614404439582,False
bmi_normal,0.0958819913952059,0.1443850267379679,0.14960291493647151,False
hibpe,0.4505224339274739,0.3830213903743315,0.1372341020921489,False
edu,2.169022741241549,2.0588235294117645,0.11171959046614867,False
chronic_low,0.5015365703749232,0.5548128342245989,0.1068743629502124,False
hearte,0.288260602335587,0.24598930481283424,0.09564657979732828,True
stroke,0.07867240319606637,0.05815508021390375,0.08133853556205603,True
diabe,0.13952059004302397,0.11296791443850267,0.08001192534927458,True
fall_down,0.2716656422864167,0.24131016042780748,0.06955400417235123,True
arthre,0.5052243392747388,0.48262032085561496,0.04522293332768459,True
srh,2.6539643515673017,2.620320855614973,0.04016498325399856,True
cancre,0.019053472649047325,0.014037433155080214,0.03933040604635744,True
satlife,2.982175783650891,2.953877005347594,0.039170127282301515,True
marry,0.8408113091579594,0.8275401069518716,0.03568835687442995,True
ins,0.9704978488014752,0.964572192513369,0.033439227722232755,True
gender,0.5451751690227412,0.5608288770053476,0.031488712945034344,True
retire,0.23232944068838352,0.21991978609625668,0.02966866723554566,True
drinkev,0.49661954517516904,0.48663101604278075,0.01998085813026976,True
rural,0.6023355869698832,0.6056149732620321,0.006705393793840919,True
is_socially_isolated,0.0725261216963737,0.07419786096256685,0.006411802913655382,True
lunge,0.19237861094038106,0.19318181818181818,0.002036107537275291,True
had_comorbidity_before,0.0,0.0,0.0,True
