exposure,label,axis,method,ate,ate_lb,ate_ub,significant,n
exercise,运动,Cohort_A,CausalForestDML,-0.002224147183898953,-0.062441762523023206,0.05799346815522528,0,8828
exercise,运动,Cohort_A,LinearDML,-0.002433733108514928,-0.012476040616238882,0.00760857439920902,0,8828
exercise,运动,Cohort_A,DMLOrthoForest,-0.0040979799365617065,-0.10348474273031169,0.09518545117661185,0,8828
exercise,运动,Cohort_A,ForestDRLearner,-0.0016535519405859885,-0.044205205724606546,0.04089810184343456,0,8828
exercise,运动,Cohort_A,SLearner,-0.00039185689210439404,-0.0013258790750575874,3.653739049992455e-05,0,8828
exercise,运动,Cohort_A,TLearner,-0.009063248538863448,-0.01627568499900428,0.000568148574254932,0,8828
exercise,运动,Cohort_B,CausalForestDML,-0.018327342033056578,-0.111331875555105,0.07467719148899182,0,3123
exercise,运动,Cohort_B,LinearDML,-0.015333096381508697,-0.041370173578010594,0.010703980814993182,0,3123
exercise,运动,Cohort_B,DMLOrthoForest,-0.00978864256229574,-0.2357661985288567,0.21605391106625202,0,3123
exercise,运动,Cohort_B,ForestDRLearner,-0.020055985143095048,-0.08932640738033946,0.049214437094149355,0,3123
exercise,运动,Cohort_B,SLearner,-7.659626775861358e-06,-0.004137000984843652,0.00022345214194518492,0,3123
exercise,运动,Cohort_B,TLearner,-0.023322364334456516,-0.04917531455129127,-0.003604159038989847,1,3123
exercise,运动,Cohort_C,CausalForestDML,0.030580756797657264,-0.07925147452733335,0.14041298812264785,0,2435
exercise,运动,Cohort_C,LinearDML,0.03401097835248759,-0.0002978995570235357,0.06831985626199877,0,2435
exercise,运动,Cohort_C,DMLOrthoForest,0.02651468599894329,-0.23366159334715175,0.28699660798717,0,2435
exercise,运动,Cohort_C,ForestDRLearner,0.022279595822422914,-0.060213615383483084,0.10477280702832889,0,2435
exercise,运动,Cohort_C,SLearner,0.0006657023279639128,-0.00041899102173512397,0.0063701123967890875,0,2435
