exposure,axis,ate,ate_lb,ate_ub,significant,reliable,n
exercise,Axis_A,-0.0017203143825957033,-0.05803944147486897,0.05459881270967754,0,1,8828
exercise,Axis_B,-0.03680421767008154,-0.12908315185763544,0.05547471651747233,0,1,3123
exercise,Axis_C,0.0258016822152007,-0.07752186598288825,0.12912523041328963,0,1,2435
sleep_adequate,Axis_A,-0.018338665323544355,-0.08237215797777338,0.04569482733068467,0,1,8828
sleep_adequate,Axis_B,-0.015605842955779964,-0.10617497033059455,0.07496328441903459,0,1,3123
sleep_adequate,Axis_C,-0.015463845304775752,-0.13169738544479198,0.10076969483524044,0,1,2435
smokev,Axis_A,0.010338657490243448,-0.05848632902656517,0.07916364400705204,0,1,8828
smokev,Axis_B,0.02390308038865596,-0.09604821752751064,0.14385437830482253,0,1,3123
smokev,Axis_C,0.012852360903442517,-0.12235634633092099,0.148061068137806,0,1,2435
drinkev,Axis_A,-0.0018336997796740886,-0.06073252660145727,0.05706512704210908,0,1,8828
drinkev,Axis_B,0.023306922651877306,-0.0804719538958058,0.1270857991995604,0,1,3123
drinkev,Axis_C,0.02885484447820592,-0.09067221220554794,0.14838190116195976,0,1,2435
is_socially_isolated,Axis_A,2.105558048764289,-49.7766471534881,53.98776325101667,0,0,8828
is_socially_isolated,Axis_B,13.081818013067032,-38.08756713133767,64.25120315747165,0,0,3123
is_socially_isolated,Axis_C,1.698014436259378,-7.041283143041049,10.437312015559803,0,0,2435
